"the","and","for","have","that","they","this","you","not","but","good","with","the_ratios","and_ratios","for_ratios","have_ratios","that_ratios","they_ratios","this_ratios","you_ratios","not_ratios","but_ratios","good_ratios","with_ratios"
1,2,2,2,0,1,1,0,2,5,0,0,0.01,0.019,0.019,0.019,0,0.01,0.01,0,0.019,0.048,0,0
4,5,3,0,1,1,1,3,0,1,1,4,0.017,0.021,0.013,0,0.004,0.004,0.004,0.013,0,0.004,0.004,0.017
2,2,0,1,0,0,0,1,0,1,0,0,0.03,0.03,0,0.015,0,0,0,0.015,0,0.015,0,0
4,6,1,1,3,2,0,0,4,2,0,0,0.02,0.029,0.005,0.005,0.015,0.01,0,0,0.02,0.01,0,0
2,0,4,1,0,0,0,2,0,0,0,0,0.043,0,0.085,0.021,0,0,0,0.043,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0.083,0.083,0,0,0,0,0,0,0,0,0
5,1,1,4,0,1,4,0,0,0,0,0,0.056,0.011,0.011,0.045,0,0.011,0.045,0,0,0,0,0
9,7,6,5,10,4,4,3,2,4,1,2,0.022,0.017,0.015,0.012,0.025,0.01,0.01,0.007,0.005,0.01,0.002,0.005
2,3,0,0,0,0,1,0,0,0,0,0,0.031,0.047,0,0,0,0,0.016,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0.053,0,0,0,0,0,0.053,0,0,0,0,0
2,6,0,2,0,0,2,0,0,0,0,0,0.014,0.043,0,0.014,0,0,0.014,0,0,0,0,0
6,3,0,1,0,1,1,0,1,1,0,0,0.033,0.016,0,0.005,0,0.005,0.005,0,0.005,0.005,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0.053,0.053,0,0,0,0,0,0,0,0,0,0
7,4,2,2,2,2,2,2,0,1,0,0,0.04,0.023,0.011,0.011,0.011,0.011,0.011,0.011,0,0.006,0,0
1,3,0,0,0,0,0,1,0,0,0,0,0.019,0.056,0,0,0,0,0,0.019,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0
8,1,4,0,1,5,2,0,1,2,0,0,0.063,0.008,0.031,0,0.008,0.039,0.016,0,0.008,0.016,0,0
1,1,0,1,0,1,1,0,1,0,1,1,0.019,0.019,0,0.019,0,0.019,0.019,0,0.019,0,0.019,0.019
2,2,0,1,1,0,1,0,0,2,0,0,0.029,0.029,0,0.015,0.015,0,0.015,0,0,0.029,0,0
3,2,1,0,2,0,3,2,0,1,0,0,0.025,0.016,0.008,0,0.016,0,0.025,0.016,0,0.008,0,0
2,2,2,0,0,1,1,0,0,0,0,0,0.043,0.043,0.043,0,0,0.021,0.021,0,0,0,0,0
2,2,0,1,0,0,1,0,0,0,0,1,0.006,0.006,0,0.003,0,0,0.003,0,0,0,0,0.003
2,1,0,1,0,1,0,0,0,0,0,0,0.057,0.029,0,0.029,0,0.029,0,0,0,0,0,0
6,4,0,0,0,0,0,1,0,1,0,1,0.074,0.049,0,0,0,0,0,0.012,0,0.012,0,0.012
4,0,2,0,1,1,0,3,0,0,0,0,0.037,0,0.019,0,0.009,0.009,0,0.028,0,0,0,0
8,2,1,0,0,0,1,0,1,1,0,0,0.113,0.028,0.014,0,0,0,0.014,0,0.014,0.014,0,0
1,0,0,0,2,0,0,0,0,0,0,0,0.042,0,0,0,0.083,0,0,0,0,0,0,0
0,7,2,3,0,3,1,1,1,1,1,3,0,0.048,0.014,0.02,0,0.02,0.007,0.007,0.007,0.007,0.007,0.02
2,1,0,1,0,1,0,0,0,0,0,0,0.125,0.062,0,0.062,0,0.062,0,0,0,0,0,0
1,1,1,1,3,0,0,1,2,0,0,1,0.019,0.019,0.019,0.019,0.057,0,0,0.019,0.038,0,0,0.019
4,3,0,0,0,0,0,0,1,0,0,3,0.038,0.029,0,0,0,0,0,0,0.01,0,0,0.029
0,2,1,2,0,1,1,0,0,0,0,0,0,0.067,0.033,0.067,0,0.033,0.033,0,0,0,0,0
8,8,6,3,0,1,1,1,0,3,0,0,0.041,0.041,0.031,0.015,0,0.005,0.005,0.005,0,0.015,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.048,0,0.048,0,0
6,10,1,2,2,5,1,1,2,3,0,2,0.019,0.031,0.003,0.006,0.006,0.016,0.003,0.003,0.006,0.009,0,0.006
6,2,2,1,2,2,0,0,1,1,1,0,0.04,0.013,0.013,0.007,0.013,0.013,0,0,0.007,0.007,0.007,0
4,1,0,0,0,0,0,0,0,2,0,0,0.087,0.022,0,0,0,0,0,0,0,0.043,0,0
3,3,0,1,4,0,1,1,3,0,2,1,0.02,0.02,0,0.007,0.027,0,0.007,0.007,0.02,0,0.014,0.007
1,0,0,0,0,0,0,0,0,1,0,0,0.024,0,0,0,0,0,0,0,0,0.024,0,0
1,2,3,1,1,0,0,0,1,0,0,0,0.011,0.021,0.032,0.011,0.011,0,0,0,0.011,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,2,1,0,1,1,0,1,0,0.009,0.009,0.009,0.009,0.019,0.009,0,0.009,0.009,0,0.009
4,4,4,1,1,1,0,5,1,0,0,0,0.03,0.03,0.03,0.007,0.007,0.007,0,0.037,0.007,0,0,0
5,5,4,1,0,1,0,0,0,0,0,0,0.076,0.076,0.061,0.015,0,0.015,0,0,0,0,0,0
17,5,0,2,3,0,2,1,2,1,0,0,0.099,0.029,0,0.012,0.017,0,0.012,0.006,0.012,0.006,0,0
1,2,2,0,1,1,0,2,1,2,0,1,0.008,0.016,0.016,0,0.008,0.008,0,0.016,0.008,0.016,0,0.008
5,5,1,0,0,1,1,0,1,1,0,1,0.047,0.047,0.009,0,0,0.009,0.009,0,0.009,0.009,0,0.009
5,7,1,3,0,4,0,1,0,2,1,0,0.031,0.044,0.006,0.019,0,0.025,0,0.006,0,0.012,0.006,0
1,1,0,3,1,0,0,0,0,0,0,0,0.016,0.016,0,0.048,0.016,0,0,0,0,0,0,0
2,1,0,0,1,0,0,0,0,0,0,0,0.065,0.032,0,0,0.032,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,1,1,0,0,0.026,0.026,0,0,0,0,0.026,0,0.026,0.026,0,0
0,3,0,0,0,0,0,0,0,1,0,0,0,0.049,0,0,0,0,0,0,0,0.016,0,0
4,1,0,2,1,0,3,0,0,0,0,1,0.058,0.014,0,0.029,0.014,0,0.043,0,0,0,0,0.014
1,1,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,0,0,0,0.033,0.1,0.033,0,0,0,0,0,0,0,0,0
3,3,0,0,3,1,0,1,0,0,0,0,0.032,0.032,0,0,0.032,0.011,0,0.011,0,0,0,0
7,4,3,3,1,2,1,3,0,1,0,0,0.045,0.025,0.019,0.019,0.006,0.013,0.006,0.019,0,0.006,0,0
1,3,3,0,0,1,1,0,0,0,0,0,0.012,0.036,0.036,0,0,0.012,0.012,0,0,0,0,0
1,2,0,0,0,1,0,0,0,0,0,0,0.027,0.054,0,0,0,0.027,0,0,0,0,0,0
7,3,0,0,0,0,0,2,1,1,0,0,0.082,0.035,0,0,0,0,0,0.024,0.012,0.012,0,0
4,3,1,1,1,0,0,0,2,0,1,0,0.046,0.034,0.011,0.011,0.011,0,0,0,0.023,0,0.011,0
5,4,2,3,5,2,2,2,0,0,2,1,0.023,0.018,0.009,0.014,0.023,0.009,0.009,0.009,0,0,0.009,0.005
3,1,0,0,1,0,0,1,2,1,0,1,0.04,0.013,0,0,0.013,0,0,0.013,0.027,0.013,0,0.013
12,2,3,1,3,2,4,0,3,2,0,1,0.044,0.007,0.011,0.004,0.011,0.007,0.015,0,0.011,0.007,0,0.004
6,10,4,1,4,0,0,5,1,0,0,2,0.022,0.037,0.015,0.004,0.015,0,0,0.019,0.004,0,0,0.007
3,9,1,1,0,0,1,0,0,0,1,0,0.028,0.085,0.009,0.009,0,0,0.009,0,0,0,0.009,0
11,2,1,1,2,0,0,7,1,1,0,2,0.039,0.007,0.004,0.004,0.007,0,0,0.025,0.004,0.004,0,0.007
4,3,2,2,1,3,3,0,2,0,1,0,0.023,0.017,0.011,0.011,0.006,0.017,0.017,0,0.011,0,0.006,0
5,3,0,1,0,1,0,0,0,0,0,0,0.043,0.026,0,0.009,0,0.009,0,0,0,0,0,0
24,11,1,1,5,3,0,0,0,2,0,4,0.062,0.028,0.003,0.003,0.013,0.008,0,0,0,0.005,0,0.01
9,7,2,1,3,0,1,3,2,3,2,2,0.032,0.025,0.007,0.004,0.011,0,0.004,0.011,0.007,0.011,0.007,0.007
14,8,5,0,2,1,1,2,1,0,0,3,0.061,0.035,0.022,0,0.009,0.004,0.004,0.009,0.004,0,0,0.013
27,17,7,7,7,13,4,26,4,5,1,1,0.035,0.022,0.009,0.009,0.009,0.017,0.005,0.034,0.005,0.006,0.001,0.001
4,4,2,0,1,0,1,2,0,0,1,0,0.04,0.04,0.02,0,0.01,0,0.01,0.02,0,0,0.01,0
2,11,1,2,4,4,3,0,0,0,0,4,0.007,0.038,0.003,0.007,0.014,0.014,0.01,0,0,0,0,0.014
10,7,4,0,1,1,1,5,1,0,1,1,0.038,0.027,0.015,0,0.004,0.004,0.004,0.019,0.004,0,0.004,0.004
1,3,0,0,0,0,0,0,0,0,2,0,0.017,0.052,0,0,0,0,0,0,0,0,0.034,0
6,2,0,2,0,1,0,8,0,0,0,2,0.032,0.011,0,0.011,0,0.005,0,0.042,0,0,0,0.011
8,3,0,1,2,0,0,1,0,2,1,0,0.044,0.016,0,0.005,0.011,0,0,0.005,0,0.011,0.005,0
22,10,1,2,1,2,0,4,5,1,3,2,0.075,0.034,0.003,0.007,0.003,0.007,0,0.014,0.017,0.003,0.01,0.007
3,2,2,0,0,2,0,1,0,0,0,1,0.019,0.012,0.012,0,0,0.012,0,0.006,0,0,0,0.006
6,3,1,1,0,1,0,1,1,2,0,1,0.042,0.021,0.007,0.007,0,0.007,0,0.007,0.007,0.014,0,0.007
24,9,1,3,10,7,2,9,1,3,1,1,0.052,0.02,0.002,0.007,0.022,0.015,0.004,0.02,0.002,0.007,0.002,0.002
16,12,1,1,2,1,0,1,1,2,0,2,0.066,0.049,0.004,0.004,0.008,0.004,0,0.004,0.004,0.008,0,0.008
5,7,1,1,0,2,1,0,0,3,1,2,0.025,0.035,0.005,0.005,0,0.01,0.005,0,0,0.015,0.005,0.01
5,5,3,0,0,0,0,0,0,0,0,1,0.033,0.033,0.02,0,0,0,0,0,0,0,0,0.007
2,1,0,0,0,0,0,1,0,0,0,0,0.041,0.02,0,0,0,0,0,0.02,0,0,0,0
3,1,1,1,1,2,1,0,0,0,0,2,0.032,0.011,0.011,0.011,0.011,0.021,0.011,0,0,0,0,0.021
1,1,1,0,0,0,0,1,0,0,0,0,0.014,0.014,0.014,0,0,0,0,0.014,0,0,0,0
8,7,1,1,0,1,1,1,0,0,1,1,0.047,0.041,0.006,0.006,0,0.006,0.006,0.006,0,0,0.006,0.006
7,7,1,2,0,4,1,1,0,1,0,0,0.045,0.045,0.006,0.013,0,0.025,0.006,0.006,0,0.006,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0.017,0.033,0.017,0,0,0,0,0,0,0,0,0
8,1,1,0,0,1,0,0,1,2,1,0,0.064,0.008,0.008,0,0,0.008,0,0,0.008,0.016,0.008,0
7,2,2,1,1,5,0,5,1,0,0,2,0.033,0.009,0.009,0.005,0.005,0.023,0,0.023,0.005,0,0,0.009
4,2,6,2,5,6,1,0,0,1,0,1,0.021,0.01,0.031,0.01,0.026,0.031,0.005,0,0,0.005,0,0.005
15,2,3,2,1,1,1,0,4,1,0,1,0.094,0.013,0.019,0.013,0.006,0.006,0.006,0,0.025,0.006,0,0.006
14,5,2,0,1,0,0,0,0,0,0,2,0.075,0.027,0.011,0,0.005,0,0,0,0,0,0,0.011
8,6,3,1,0,1,1,2,0,1,0,1,0.051,0.038,0.019,0.006,0,0.006,0.006,0.013,0,0.006,0,0.006
36,9,2,3,5,7,4,11,5,1,1,1,0.076,0.019,0.004,0.006,0.011,0.015,0.008,0.023,0.011,0.002,0.002,0.002
4,1,0,0,1,0,2,1,0,0,0,0,0.059,0.015,0,0,0.015,0,0.029,0.015,0,0,0,0
6,7,4,0,3,0,0,4,3,3,1,1,0.024,0.029,0.016,0,0.012,0,0,0.016,0.012,0.012,0.004,0.004
14,7,3,0,2,2,0,1,1,0,1,3,0.065,0.032,0.014,0,0.009,0.009,0,0.005,0.005,0,0.005,0.014
7,5,4,1,1,0,1,1,0,1,1,2,0.042,0.03,0.024,0.006,0.006,0,0.006,0.006,0,0.006,0.006,0.012
8,4,3,0,0,0,0,1,0,0,0,1,0.068,0.034,0.025,0,0,0,0,0.008,0,0,0,0.008
1,3,0,0,0,0,0,0,0,0,0,0,0.015,0.045,0,0,0,0,0,0,0,0,0,0
6,2,0,1,3,1,0,1,3,2,0,2,0.036,0.012,0,0.006,0.018,0.006,0,0.006,0.018,0.012,0,0.012
16,14,3,1,0,2,2,1,2,3,1,7,0.042,0.037,0.008,0.003,0,0.005,0.005,0.003,0.005,0.008,0.003,0.018
9,6,0,1,1,1,1,1,1,0,0,0,0.071,0.047,0,0.008,0.008,0.008,0.008,0.008,0.008,0,0,0
11,4,2,0,0,0,3,0,0,2,0,1,0.082,0.03,0.015,0,0,0,0.022,0,0,0.015,0,0.007
6,6,4,1,2,0,0,0,3,2,1,3,0.038,0.038,0.026,0.006,0.013,0,0,0,0.019,0.013,0.006,0.019
4,4,0,0,0,0,0,0,0,0,1,0,0.057,0.057,0,0,0,0,0,0,0,0,0.014,0
0,1,0,1,1,1,0,0,0,0,0,0,0,0.016,0,0.016,0.016,0.016,0,0,0,0,0,0
10,4,5,0,2,4,0,5,1,2,0,0,0.04,0.016,0.02,0,0.008,0.016,0,0.02,0.004,0.008,0,0
9,5,2,0,3,2,0,0,5,1,0,1,0.066,0.037,0.015,0,0.022,0.015,0,0,0.037,0.007,0,0.007
16,8,6,0,2,1,5,5,2,3,3,4,0.044,0.022,0.017,0,0.006,0.003,0.014,0.014,0.006,0.008,0.008,0.011
0,0,3,1,1,0,4,0,0,1,0,0,0,0,0.032,0.011,0.011,0,0.043,0,0,0.011,0,0
3,1,0,0,2,0,0,0,0,0,0,2,0.042,0.014,0,0,0.028,0,0,0,0,0,0,0.028
16,12,2,2,0,0,0,1,0,4,0,1,0.057,0.043,0.007,0.007,0,0,0,0.004,0,0.014,0,0.004
2,0,0,1,0,0,1,0,0,0,0,1,0.034,0,0,0.017,0,0,0.017,0,0,0,0,0.017
8,8,4,1,2,0,1,5,0,2,2,2,0.025,0.025,0.012,0.003,0.006,0,0.003,0.016,0,0.006,0.006,0.006
23,8,0,1,2,0,2,5,1,2,0,2,0.063,0.022,0,0.003,0.005,0,0.005,0.014,0.003,0.005,0,0.005
6,6,3,1,1,0,2,0,0,2,1,1,0.034,0.034,0.017,0.006,0.006,0,0.011,0,0,0.011,0.006,0.006
5,4,4,0,1,1,0,1,0,2,0,1,0.054,0.043,0.043,0,0.011,0.011,0,0.011,0,0.022,0,0.011
17,13,3,3,3,2,0,1,1,1,3,3,0.054,0.042,0.01,0.01,0.01,0.006,0,0.003,0.003,0.003,0.01,0.01
0,2,0,0,0,0,0,1,0,0,0,0,0,0.056,0,0,0,0,0,0.028,0,0,0,0
7,4,2,2,2,0,1,0,1,1,0,3,0.041,0.024,0.012,0.012,0.012,0,0.006,0,0.006,0.006,0,0.018
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.021,0.021,0,0,0.021,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0
5,4,2,0,0,0,0,1,0,0,0,0,0.049,0.039,0.019,0,0,0,0,0.01,0,0,0,0
45,27,9,1,7,4,3,7,3,2,2,5,0.066,0.04,0.013,0.001,0.01,0.006,0.004,0.01,0.004,0.003,0.003,0.007
19,9,7,0,7,2,1,4,3,5,0,3,0.042,0.02,0.016,0,0.016,0.004,0.002,0.009,0.007,0.011,0,0.007
21,15,2,9,6,7,3,15,1,1,0,0,0.045,0.032,0.004,0.019,0.013,0.015,0.006,0.032,0.002,0.002,0,0
1,2,2,0,2,2,0,0,1,0,0,1,0.01,0.021,0.021,0,0.021,0.021,0,0,0.01,0,0,0.01
2,3,1,1,1,0,0,0,2,1,0,0,0.022,0.033,0.011,0.011,0.011,0,0,0,0.022,0.011,0,0
12,23,4,2,9,1,1,1,2,1,0,4,0.024,0.047,0.008,0.004,0.018,0.002,0.002,0.002,0.004,0.002,0,0.008
0,2,0,0,0,0,1,0,0,1,0,1,0,0.071,0,0,0,0,0.036,0,0,0.036,0,0.036
30,18,7,3,5,4,1,4,5,2,0,3,0.045,0.027,0.011,0.005,0.008,0.006,0.002,0.006,0.008,0.003,0,0.005
29,10,3,1,4,1,0,3,1,1,1,3,0.059,0.02,0.006,0.002,0.008,0.002,0,0.006,0.002,0.002,0.002,0.006
8,6,3,4,7,4,3,4,5,1,0,1,0.025,0.019,0.009,0.012,0.022,0.012,0.009,0.012,0.015,0.003,0,0.003
11,5,6,5,1,2,0,4,0,0,0,0,0.051,0.023,0.028,0.023,0.005,0.009,0,0.018,0,0,0,0
35,22,5,4,12,8,3,3,6,6,0,1,0.051,0.032,0.007,0.006,0.017,0.012,0.004,0.004,0.009,0.009,0,0.001
5,6,1,2,1,3,2,1,2,1,0,0,0.032,0.039,0.006,0.013,0.006,0.019,0.013,0.006,0.013,0.006,0,0
9,9,0,0,0,2,0,0,0,1,0,1,0.049,0.049,0,0,0,0.011,0,0,0,0.005,0,0.005
2,2,0,0,0,1,0,0,0,0,0,0,0.056,0.056,0,0,0,0.028,0,0,0,0,0,0
21,12,5,3,6,4,1,6,3,3,1,3,0.05,0.028,0.012,0.007,0.014,0.009,0.002,0.014,0.007,0.007,0.002,0.007
8,3,0,0,2,1,1,0,0,0,1,0,0.048,0.018,0,0,0.012,0.006,0.006,0,0,0,0.006,0
15,13,6,2,3,5,0,0,2,2,0,1,0.047,0.041,0.019,0.006,0.009,0.016,0,0,0.006,0.006,0,0.003
14,13,2,2,3,5,0,7,0,2,2,2,0.04,0.038,0.006,0.006,0.009,0.014,0,0.02,0,0.006,0.006,0.006
7,4,1,0,0,0,0,0,0,0,1,0,0.08,0.046,0.011,0,0,0,0,0,0,0,0.011,0
8,5,2,0,0,0,0,0,0,0,1,1,0.089,0.056,0.022,0,0,0,0,0,0,0,0.011,0.011
10,12,1,2,2,4,0,3,1,1,0,2,0.03,0.036,0.003,0.006,0.006,0.012,0,0.009,0.003,0.003,0,0.006
7,8,0,5,1,2,1,5,3,1,1,3,0.028,0.032,0,0.02,0.004,0.008,0.004,0.02,0.012,0.004,0.004,0.012
1,0,2,1,1,3,0,0,3,0,0,1,0.008,0,0.017,0.008,0.008,0.025,0,0,0.025,0,0,0.008
2,2,0,0,0,0,1,0,0,0,0,0,0.065,0.065,0,0,0,0,0.032,0,0,0,0,0
0,3,1,0,1,0,0,1,0,1,0,1,0,0.033,0.011,0,0.011,0,0,0.011,0,0.011,0,0.011
8,7,2,1,0,3,0,0,2,2,2,1,0.053,0.046,0.013,0.007,0,0.02,0,0,0.013,0.013,0.013,0.007
20,13,3,3,4,2,1,1,4,2,1,2,0.049,0.032,0.007,0.007,0.01,0.005,0.002,0.002,0.01,0.005,0.002,0.005
9,5,4,4,2,4,2,2,4,2,0,1,0.036,0.02,0.016,0.016,0.008,0.016,0.008,0.008,0.016,0.008,0,0.004
14,4,3,0,1,1,0,1,4,1,1,0,0.087,0.025,0.019,0,0.006,0.006,0,0.006,0.025,0.006,0.006,0
2,2,1,0,2,1,2,1,0,2,0,0,0.02,0.02,0.01,0,0.02,0.01,0.02,0.01,0,0.02,0,0
6,3,2,0,0,0,0,1,2,0,0,0,0.055,0.027,0.018,0,0,0,0,0.009,0.018,0,0,0
4,4,2,0,2,0,0,0,0,2,1,1,0.033,0.033,0.017,0,0.017,0,0,0,0,0.017,0.008,0.008
9,9,1,3,1,4,1,1,0,0,0,0,0.052,0.052,0.006,0.017,0.006,0.023,0.006,0.006,0,0,0,0
4,3,0,1,0,0,0,0,1,0,0,0,0.074,0.056,0,0.019,0,0,0,0,0.019,0,0,0
1,3,1,0,1,2,0,1,1,1,1,1,0.014,0.042,0.014,0,0.014,0.028,0,0.014,0.014,0.014,0.014,0.014
1,7,0,1,1,2,0,1,1,1,0,0,0.013,0.09,0,0.013,0.013,0.026,0,0.013,0.013,0.013,0,0
11,3,5,1,0,0,0,0,2,2,0,1,0.076,0.021,0.034,0.007,0,0,0,0,0.014,0.014,0,0.007
8,7,6,0,2,1,2,4,0,0,0,0,0.029,0.025,0.022,0,0.007,0.004,0.007,0.014,0,0,0,0
5,5,0,1,2,0,0,1,0,1,0,1,0.038,0.038,0,0.008,0.015,0,0,0.008,0,0.008,0,0.008
7,6,3,2,1,0,2,3,1,1,0,2,0.036,0.031,0.015,0.01,0.005,0,0.01,0.015,0.005,0.005,0,0.01
6,1,2,0,0,0,0,0,0,0,0,1,0.111,0.019,0.037,0,0,0,0,0,0,0,0,0.019
6,5,2,0,1,2,1,1,0,1,0,0,0.039,0.032,0.013,0,0.006,0.013,0.006,0.006,0,0.006,0,0
11,8,4,1,3,8,0,2,0,4,1,1,0.028,0.02,0.01,0.003,0.008,0.02,0,0.005,0,0.01,0.003,0.003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11,2,0,5,7,6,2,5,2,0,0,0.037,0.029,0.005,0,0.013,0.019,0.016,0.005,0.013,0.005,0,0
9,4,4,0,3,3,0,1,3,2,0,3,0.037,0.017,0.017,0,0.012,0.012,0,0.004,0.012,0.008,0,0.012
1,2,2,4,2,1,0,0,0,0,0,0,0.016,0.032,0.032,0.063,0.032,0.016,0,0,0,0,0,0
13,7,3,0,1,0,0,0,1,1,0,1,0.071,0.038,0.016,0,0.005,0,0,0,0.005,0.005,0,0.005
2,4,0,0,1,0,1,0,0,0,0,1,0.019,0.037,0,0,0.009,0,0.009,0,0,0,0,0.009
16,18,1,1,0,4,2,14,0,1,1,4,0.049,0.055,0.003,0.003,0,0.012,0.006,0.043,0,0.003,0.003,0.012
8,18,2,0,2,0,0,0,1,2,0,8,0.022,0.049,0.005,0,0.005,0,0,0,0.003,0.005,0,0.022
25,9,5,2,0,3,3,15,1,1,0,7,0.052,0.019,0.01,0.004,0,0.006,0.006,0.031,0.002,0.002,0,0.015
17,12,2,4,8,1,2,7,3,2,2,1,0.048,0.034,0.006,0.011,0.023,0.003,0.006,0.02,0.009,0.006,0.006,0.003
7,5,4,0,2,1,0,4,0,1,0,0,0.042,0.03,0.024,0,0.012,0.006,0,0.024,0,0.006,0,0
29,23,7,1,3,0,3,9,3,3,4,4,0.042,0.034,0.01,0.001,0.004,0,0.004,0.013,0.004,0.004,0.006,0.006
5,5,2,2,0,1,0,0,0,0,0,0,0.048,0.048,0.019,0.019,0,0.01,0,0,0,0,0,0
5,4,0,0,0,0,0,1,0,0,0,0,0.045,0.036,0,0,0,0,0,0.009,0,0,0,0
2,2,1,0,0,1,1,0,0,1,0,1,0.036,0.036,0.018,0,0,0.018,0.018,0,0,0.018,0,0.018
2,2,1,0,1,0,0,0,0,1,0,0,0.031,0.031,0.015,0,0.015,0,0,0,0,0.015,0,0
9,4,1,1,0,0,1,1,0,0,0,1,0.047,0.021,0.005,0.005,0,0,0.005,0.005,0,0,0,0.005
9,2,0,0,0,0,0,1,1,1,0,1,0.117,0.026,0,0,0,0,0,0.013,0.013,0.013,0,0.013
11,3,2,0,0,0,2,0,2,1,0,0,0.059,0.016,0.011,0,0,0,0.011,0,0.011,0.005,0,0
13,16,2,3,6,1,1,0,4,1,0,2,0.031,0.039,0.005,0.007,0.014,0.002,0.002,0,0.01,0.002,0,0.005
9,2,1,0,2,0,0,0,0,1,1,0,0.087,0.019,0.01,0,0.019,0,0,0,0,0.01,0.01,0
0,2,3,1,0,0,0,1,1,1,0,0,0,0.023,0.035,0.012,0,0,0,0.012,0.012,0.012,0,0
22,17,1,5,5,3,5,16,5,2,0,2,0.042,0.032,0.002,0.009,0.009,0.006,0.009,0.03,0.009,0.004,0,0.004
23,13,4,1,1,0,4,1,1,4,1,3,0.057,0.032,0.01,0.002,0.002,0,0.01,0.002,0.002,0.01,0.002,0.007
6,2,1,1,0,0,0,0,0,0,0,0,0.054,0.018,0.009,0.009,0,0,0,0,0,0,0,0
1,5,2,0,0,0,0,1,0,0,0,0,0.011,0.053,0.021,0,0,0,0,0.011,0,0,0,0
7,2,1,1,1,0,0,1,3,2,0,2,0.043,0.012,0.006,0.006,0.006,0,0,0.006,0.018,0.012,0,0.012
1,5,3,0,1,0,0,2,0,0,0,2,0.009,0.045,0.027,0,0.009,0,0,0.018,0,0,0,0.018
3,1,2,0,0,0,0,1,0,0,0,0,0.039,0.013,0.026,0,0,0,0,0.013,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0.034,0,0.034,0,0,0,0,0,0,0,0
9,8,4,1,0,1,3,2,7,4,4,3,0.024,0.022,0.011,0.003,0,0.003,0.008,0.005,0.019,0.011,0.011,0.008
13,12,1,1,1,5,0,6,2,2,1,3,0.039,0.036,0.003,0.003,0.003,0.015,0,0.018,0.006,0.006,0.003,0.009
10,3,1,0,1,0,2,2,1,2,0,2,0.055,0.016,0.005,0,0.005,0,0.011,0.011,0.005,0.011,0,0.011
7,5,4,0,3,0,0,2,0,0,1,1,0.064,0.045,0.036,0,0.027,0,0,0.018,0,0,0.009,0.009
4,4,1,0,0,1,5,1,0,0,0,1,0.027,0.027,0.007,0,0,0.007,0.033,0.007,0,0,0,0.007
0,3,0,0,0,0,0,0,0,0,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0
7,7,1,0,1,0,0,4,0,1,0,0,0.058,0.058,0.008,0,0.008,0,0,0.033,0,0.008,0,0
3,5,3,0,1,0,0,1,0,0,0,0,0.045,0.076,0.045,0,0.015,0,0,0.015,0,0,0,0
3,3,2,1,0,0,0,1,0,1,0,1,0.031,0.031,0.021,0.01,0,0,0,0.01,0,0.01,0,0.01
7,5,2,1,1,0,0,0,0,0,0,1,0.06,0.043,0.017,0.009,0.009,0,0,0,0,0,0,0.009
3,0,1,1,0,0,0,1,0,0,1,1,0.068,0,0.023,0.023,0,0,0,0.023,0,0,0.023,0.023
0,1,1,1,0,1,1,0,2,1,0,0,0,0.019,0.019,0.019,0,0.019,0.019,0,0.038,0.019,0,0
3,3,1,1,1,3,0,1,0,0,0,0,0.025,0.025,0.008,0.008,0.008,0.025,0,0.008,0,0,0,0
14,10,1,1,0,0,3,0,0,3,0,1,0.061,0.043,0.004,0.004,0,0,0.013,0,0,0.013,0,0.004
16,12,1,5,4,1,4,1,1,4,0,0,0.037,0.028,0.002,0.012,0.009,0.002,0.009,0.002,0.002,0.009,0,0
10,1,1,1,0,0,0,0,1,1,0,2,0.081,0.008,0.008,0.008,0,0,0,0,0.008,0.008,0,0.016
3,2,3,0,0,0,0,0,0,1,0,0,0.053,0.035,0.053,0,0,0,0,0,0,0.018,0,0
6,4,3,1,1,1,0,2,2,0,0,0,0.038,0.025,0.019,0.006,0.006,0.006,0,0.013,0.013,0,0,0
1,4,2,1,1,0,0,1,0,0,0,3,0.008,0.033,0.017,0.008,0.008,0,0,0.008,0,0,0,0.025
3,1,0,0,0,0,0,0,0,0,0,1,0.068,0.023,0,0,0,0,0,0,0,0,0,0.023
19,5,4,0,2,3,1,4,2,2,2,3,0.052,0.014,0.011,0,0.005,0.008,0.003,0.011,0.005,0.005,0.005,0.008
